anchor,sidekick,co_drafts,anchor_draft_seasons,sidekick_draft_seasons,p_anchor_given_sidekick,p_sidekick_given_anchor,asymmetry,chemistry_z,expected_co_drafts_season_random,same_season_drafts,pair_seasons,pair_team_names
Sylveon,Zoroark,2,13,3,0.6666666666666666,0.15384615384615385,0.5128205128205128,4.919349550499538,0.15267175572519084,2,S6; S9,Lanturns; Ribombees
Crobat,Dusclops,2,13,3,0.6666666666666666,0.15384615384615385,0.5128205128205128,3.8506555557938955,0.22900763358778625,3,S2; S10,Brelooms; Primarinas
Mamoswine,Tornadus-T,2,13,3,0.6666666666666666,0.15384615384615385,0.5128205128205128,3.8506555557938955,0.22900763358778625,3,S2; S3,Dracos; Lanturns
Haxorus,Blacephalon,2,13,3,0.6666666666666666,0.15384615384615385,0.5128205128205128,3.7065077465299514,0.2444148749912459,3,S2; S4,Aggrons; Lanturns
Clodsire,Sinistcha,2,4,2,1.0,0.5,0.5,4.924494433364483,0.15237720579970776,2,S18; S19,Crobats; Zeraora
Machamp,Zangoose,2,4,2,1.0,0.5,0.5,4.919349550499538,0.15267175572519084,2,S4; S5,Aggrons
Donphan,Enamorus,2,11,3,0.6666666666666666,0.18181818181818182,0.4848484848484848,4.92394628314809,0.15240855981711965,2,S15; S16,Aggies; Metapods
Serperior,Zebstrika,2,11,3,0.6666666666666666,0.18181818181818182,0.4848484848484848,3.7065077465299514,0.2444148749912459,3,S1; S5,Magikarps; Seadras
Victini,Kecleon,2,11,3,0.6666666666666666,0.18181818181818182,0.4848484848484848,3.7065077465299514,0.2444148749912459,3,S1; S2,Escavaliers; Goomys
Darmanitan,Indeedee,2,10,3,0.6666666666666666,0.2,0.4666666666666666,4.919349550499538,0.15267175572519084,2,S9; S11,Aggrons; PC
Galvantula,Hoopa-Unbound,2,10,3,0.6666666666666666,0.2,0.4666666666666666,3.8520938794384425,0.22886223191566704,3,S6; S9,Archeops; Multiscalers
Diancie-Mega,Centiskorch,2,10,3,0.6666666666666666,0.2,0.4666666666666666,3.8506555557938955,0.22900763358778625,3,S9; S10,Azumarills; Seadras
Nidoking,Blacephalon,2,10,3,0.6666666666666666,0.2,0.4666666666666666,3.7065077465299514,0.2444148749912459,3,S1; S2,Lanturns; Moltres
Alomomola,Eldegoss,2,9,3,0.6666666666666666,0.2222222222222222,0.4444444444444444,4.921953095399666,0.152522607471827,2,S7; S18,Poggers; Primarinas
Ninetales-Alola,Diggersby,2,9,3,0.6666666666666666,0.2222222222222222,0.4444444444444444,4.9196708269316325,0.15265333818005572,2,S4; S20,Gothenburg Murkrows; Seadras
Excadrill,Indeedee,2,9,3,0.6666666666666666,0.2222222222222222,0.4444444444444444,4.919349550499538,0.15267175572519084,2,S9; S11,Aggrons; PC
Goodra,Dusclops,2,9,3,0.6666666666666666,0.2222222222222222,0.4444444444444444,4.919349550499538,0.15267175572519084,2,S3; S10,Brelooms; Metapods
Grimmsnarl,Conkeldurr,2,9,3,0.6666666666666666,0.2222222222222222,0.4444444444444444,4.919349550499538,0.15267175572519084,2,S9; S11,Metapods; Primarinas
Nihilego,Slowbro-Mega,2,9,3,0.6666666666666666,0.2222222222222222,0.4444444444444444,4.919349550499538,0.15267175572519084,2,S6; S7,Politoads; Seadras
Venusaur-Mega,Orbeetle,2,9,3,0.6666666666666666,0.2222222222222222,0.4444444444444444,4.919349550499538,0.15267175572519084,2,S7; S13,Aggies; Archeops
Corviknight,Toxtricity,2,9,3,0.6666666666666666,0.2222222222222222,0.4444444444444444,3.854179260960706,0.2286516397298915,3,S7; S18,Chatots; Shaymins
Forretress,Maushold,2,9,3,0.6666666666666666,0.2222222222222222,0.4444444444444444,3.8541286337765137,0.2286567333587629,3,S14; S15,Metapods; Poggers
Druddigon,Basculin,2,9,3,0.6666666666666666,0.2222222222222222,0.4444444444444444,3.8520938794384425,0.22886223191566704,3,S12; S17,Shaymins
Druddigon,Mudsdale,2,9,3,0.6666666666666666,0.2222222222222222,0.4444444444444444,3.8506555557938955,0.22900763358778625,3,S10; S11,Crobats; Multiscalers
Zapdos,Kecleon,2,9,3,0.6666666666666666,0.2222222222222222,0.4444444444444444,3.7065077465299514,0.2444148749912459,3,S1; S9,Escavaliers; Poggers
Pidgeot-Mega,Arctovish,2,8,3,0.6666666666666666,0.25,0.41666666666666663,4.921953095399666,0.152522607471827,2,S8; S18,Charizards; Poggers
Volcanion,Probopass,2,8,3,0.6666666666666666,0.25,0.41666666666666663,4.92188764452199,0.15252635405307163,2,S10; S17,Murkrows; Oricorios
Uxie,Diggersby,2,8,3,0.6666666666666666,0.25,0.41666666666666663,4.9196708269316325,0.15265333818005572,2,S3; S20,Gothenburg Murkrows; Lanturns
Miltank,Urshifu-Rapid-Strike,2,8,3,0.6666666666666666,0.25,0.41666666666666663,3.8520938794384425,0.22886223191566704,3,S10; S14,Shaymins
Tapu_Koko,Charizard-Mega-X,3,16,5,0.6,0.1875,0.4125,4.409903643724195,0.38166097176784197,5,S6; S11; S20,Aggrons; Gigatrans Hammers; Poggers
Rotom-Heat,Baxcalibur,3,15,5,0.6,0.2,0.39999999999999997,5.0787411525132695,0.3048472095492391,4,S15; S18; S19,Charizards; Crobats; Shaymins
Dragapult,Iron_Moth,3,14,5,0.6,0.21428571428571427,0.3857142857142857,4.412329849128131,0.38131381812006326,5,S15; S19; S20,Houston Zeraora; Staraptors; Zeraora
Celesteela,Ditto,3,14,5,0.6,0.21428571428571427,0.3857142857142857,4.410790819004261,0.3815339876408579,5,S2; S6; S19,Magikarps; Poggers; Ribombees
Araquanid,Hariyama,2,7,3,0.6666666666666666,0.2857142857142857,0.38095238095238093,4.919349550499538,0.15267175572519084,2,S8; S13,Crobats; Lickilicky
Iron_Treads,Bastiodon,2,7,3,0.6666666666666666,0.2857142857142857,0.38095238095238093,3.8547004686880957,0.22859903600759585,3,S15; S16,Aggies; Crobats
Slowking-Galar,Sliggoo-Hisui,2,7,3,0.6666666666666666,0.2857142857142857,0.38095238095238093,3.854091510104096,0.22866047994000752,3,S15; S19,Aggies; Shaymins
Tapu_Koko,Iron_Leaves,2,16,4,0.5,0.125,0.375,3.194342920803424,0.3048472095492391,4,S14; S15,Primarinas; Zeraora
Tapu_Koko,Tangela,2,16,4,0.5,0.125,0.375,3.191025638897183,0.3053435114503817,4,S12; S13,Crobats; Dracos
Clefable,Tentacruel,2,15,4,0.5,0.13333333333333333,0.3666666666666667,3.8520938794384425,0.22886223191566704,3,S4; S17,Dracos; Metapods
Clefable,Accelgor,2,15,4,0.5,0.13333333333333333,0.3666666666666667,3.191025638897183,0.3053435114503817,4,S4; S6,Dracos; Lanturns
Rotom-Heat,Latias-Mega,2,15,4,0.5,0.13333333333333333,0.3666666666666667,3.0925219355044424,0.3207507528538413,4,S1; S8,Chatots; Patrats
Cryogonal,Entei,2,14,4,0.5,0.14285714285714285,0.35714285714285715,4.922961366188803,0.15246491012065994,2,S3; S16,Charizards; Leafeons
Dragapult,Machamp,2,14,4,0.5,0.14285714285714285,0.35714285714285715,4.919349550499538,0.15267175572519084,2,S7; S10,Azumarills; Whiscashes
Togekiss,Quaquaval,2,14,4,0.5,0.14285714285714285,0.35714285714285715,3.85227612894957,0.22884381437053192,3,S13; S17,Aggies; Zeraora
