anchor,sidekick,co_drafts,anchor_draft_seasons,sidekick_draft_seasons,p_anchor_given_sidekick,p_sidekick_given_anchor,asymmetry,chemistry_z,expected_co_drafts_season_random,same_season_drafts,pair_seasons,pair_team_names
Serperior,Stoutland,2,11,4,0.5,0.18181818181818182,0.3181818181818182,3.8506555557938955,0.22900763358778625,3,S2; S8,Krookodiles; Leafeons
Skarmory,Leafeon,2,11,4,0.5,0.18181818181818182,0.3181818181818182,3.8506555557938955,0.22900763358778625,3,S6; S7,Murkrows; Regiskins
Victini,Zygarde-10,2,11,4,0.5,0.18181818181818182,0.3181818181818182,3.8506555557938955,0.22900763358778625,3,S10; S12,Aggrons; Murkrows
Arcanine,Tapu Koko,2,11,4,0.5,0.18181818181818182,0.3181818181818182,3.7065077465299514,0.2444148749912459,3,S1; S3,Seadras; Shaymins
Donphan,Ogerpon,2,11,4,0.5,0.18181818181818182,0.3181818181818182,3.194729078678225,0.30478951219807204,4,S15; S19,Aggies; Poggers
Heatran,Lycanroc-Dusk,2,11,4,0.5,0.18181818181818182,0.3181818181818182,3.192373319383198,0.30514175947472216,4,S12; S15,Metapods; Murkrows
Florges,Leavanny,2,11,4,0.5,0.18181818181818182,0.3181818181818182,3.19199681437757,0.30519810977826245,4,S2; S17,Charizards; Lanturns
Victini,Minior,2,11,4,0.5,0.18181818181818182,0.3181818181818182,3.191025638897183,0.3053435114503817,4,S10; S12,Aggrons; Murkrows
Gligar,Garganacl,2,10,4,0.5,0.2,0.3,4.9255039612815885,0.1523195084485407,2,S16; S19,Shaymins
Galvantula,Clodsire,2,10,4,0.5,0.2,0.3,4.924494433364483,0.15237720579970776,2,S14; S18,Gulp Missiles; Zeraora
Rotom,Tinkaton,2,10,4,0.5,0.2,0.3,4.920654155785543,0.15259698787651543,2,S15; S20,Chatots; Mahogany Town Multiscalers
Ferrothorn,Tapu_Fini,2,10,4,0.5,0.2,0.3,3.853570481006831,0.2287130836623032,3,S14; S18,Oricorios; Zeraora
Lopunny-Mega,Tapu_Fini,2,10,4,0.5,0.2,0.3,3.853570481006831,0.2287130836623032,3,S10; S14,Brelooms; Oricorios
Gligar,Komala,2,10,4,0.5,0.2,0.3,3.85270215336278,0.22880078798325537,3,S3; S5,Goomys; Regiskins
Greninja,Dragalge,2,10,4,0.5,0.2,0.3,3.8506555557938955,0.22900763358778625,3,S9; S11,Aggies; Shaymins
Snorlax,Accelgor,2,10,4,0.5,0.2,0.3,3.8506555557938955,0.22900763358778625,3,S6; S12,Lanturns; Multiscalers
Clefable,Dugtrio,3,15,6,0.5,0.2,0.3,3.8277237347843207,0.47327710690691294,6,S3; S4; S7,Dracos; Magikarps; Politoads
Diancie-Mega,Obstagoon,2,10,4,0.5,0.2,0.3,3.191025638897183,0.3053435114503817,4,S10; S11,Aggies; Azumarills
